score,link,name,rank
9.3,https://book.douban.com/subject/10519369/,"
        万物生光辉
      ",1
9.1,https://book.douban.com/subject/4826530/,"
        我亲爱的甜橙树
      ",2
9.2,https://book.douban.com/subject/25762009/,"
        教父
      ",3
9.2,https://book.douban.com/subject/25976544/,"
        故事
      ",4
9.0,https://book.douban.com/subject/6789605/,"
        树上的男爵
      ",5
9.2,https://book.douban.com/subject/7064370/,"
        罗马人的故事2
      ",6
9.2,https://book.douban.com/subject/2215160/,"
        神秘岛（全三册）
      ",7
9.0,https://book.douban.com/subject/1215310/,"
        罗杰・艾克罗伊德谋杀案
      ",8
9.0,https://book.douban.com/subject/1136074/,"
        呼兰河传
      ",9
9.0,https://book.douban.com/subject/5337254/,"
        孽子
      ",10
9.0,https://book.douban.com/subject/4315361/,"
        最後的貴族
      ",11
9.3,https://book.douban.com/subject/3339812/,"
        木心作品八种
      ",12
9.0,https://book.douban.com/subject/1311280/,"
        灵魂的事
      ",13
9.2,https://book.douban.com/subject/4882023/,"
        万物既聪慧又奇妙
      ",14
9.0,https://book.douban.com/subject/4908885/,"
        局外人
      ",15
9.0,https://book.douban.com/subject/4908883/,"
        荒原狼
      ",16
9.2,https://book.douban.com/subject/1024846/,"
        所罗门王的指环
      ",17
9.0,https://book.douban.com/subject/2122992/,"
        故道白云
      ",18
9.2,https://book.douban.com/subject/3410709/,"
        中国哲学简史
      ",19
9.3,https://book.douban.com/subject/2983683/,"
        经济学
      ",20
9.1,https://book.douban.com/subject/1016845/,"
        史努比黄金50年
      ",21
9.2,https://book.douban.com/subject/1483522/,"
        365夜
      ",22
9.0,https://book.douban.com/subject/2281861/,"
        世说新语
      ",23
9.2,https://book.douban.com/subject/10604915/,"
        银河帝国3：第二基地
      ",24
9.2,https://book.douban.com/subject/2377310/,"
        C专家编程
      ",25
