score,links,nums,ranks,des,titles
9.6,https://movie.douban.com/subject/1292052/,845967人评价,1,希望让人自由。,肖申克的救赎
9.5,https://movie.douban.com/subject/1291546/,606045人评价,2,风华绝代。,霸王别姬
9.4,https://movie.douban.com/subject/1295644/,810881人评价,3,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷
9.4,https://movie.douban.com/subject/1292720/,693282人评价,4,一部美国近现代史。,阿甘正传
9.5,https://movie.douban.com/subject/1292063/,403896人评价,5,最美的谎言。,美丽人生
9.2,https://movie.douban.com/subject/1291561/,644962人评价,6,最好的宫崎骏，最好的久石让。 ,千与千寻
9.4,https://movie.douban.com/subject/1295124/,373215人评价,7,拯救一个人，就是拯救整个世界。,辛德勒的名单
9.2,https://movie.douban.com/subject/1292722/,637695人评价,8,失去的才是永恒的。 ,泰坦尼克号
9.2,https://movie.douban.com/subject/3541415/,745311人评价,9,诺兰给了我们一场无法盗取的梦。,盗梦空间
9.3,https://movie.douban.com/subject/2131459/,489146人评价,10,小瓦力，大人生。,机器人总动员
9.2,https://movie.douban.com/subject/1292001/,588357人评价,11,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师
9.1,https://movie.douban.com/subject/3793023/,657532人评价,12,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞
9.2,https://movie.douban.com/subject/3011091/,441950人评价,13,永远都不能忘记你所爱的人。,忠犬八公的故事
9.2,https://movie.douban.com/subject/1291549/,441598人评价,14,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天
9.2,https://movie.douban.com/subject/1292213/,475819人评价,15,一生所爱。,大话西游之大圣娶亲
9.2,https://movie.douban.com/subject/1291841/,336189人评价,16,千万不要记恨你的对手，这样会让你失去理智。,教父
9.1,https://movie.douban.com/subject/1291560/,408797人评价,17,人人心中都有个龙猫，童年就永远不会消失。,龙猫
9.0,https://movie.douban.com/subject/1292064/,440796人评价,18,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界
9.2,https://movie.douban.com/subject/1300267/,265836人评价,19,Tomorrow is another day.,乱世佳人
9.1,https://movie.douban.com/subject/1291828/,304088人评价,20,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院
9.1,https://movie.douban.com/subject/6786002/,358125人评价,21,满满温情的高雅喜剧。,触不可及
8.9,https://movie.douban.com/subject/1849031/,527441人评价,22,平民励志片。 ,当幸福来敲门
9.0,https://movie.douban.com/subject/1292000/,397882人评价,23,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部
