score,titles
9.6,肖申克的救赎
9.4,这个杀手不太冷
9.2,盗梦空间
9.4,阿甘正传
9.2,泰坦尼克号
9.2,千与千寻
9.1,三傻大闹宝莱坞
9.5,霸王别姬
9.2,海上钢琴师
8.7,让子弹飞
8.9,当幸福来敲门
9.0,少年派的奇幻漂流
8.9,怦然心动
8.6,阿凡达
8.7,天使爱美丽
8.7,剪刀手爱德华
8.1,那些年，我们一起追的女孩
9.2,大话西游之大圣娶亲
8.9,飞屋环游记
9.3,机器人总动员
9.2,放牛班的春天
9.0,楚门的世界
8.2,初恋这件小事
8.7,七宗罪
9.2,忠犬八公的故事
9.1,龙猫
9.1,星际穿越
8.9,大话西游之月光宝盒
9.0,无间道
9.5,美丽人生
8.9,罗马假日
9.2,疯狂动物城
8.5,贫民窟的百万富翁
8.5,黑天鹅
7.5,人再囧途之泰囧
8.8,V字仇杀队
9.4,辛德勒的名单
8.7,本杰明·巴顿奇事
8.8,情书
8.7,蝴蝶效应
7.3,失恋33天
8.3,源代码
8.7,沉默的羔羊
9.2,教父
8.6,加勒比海盗
8.7,西西里的美丽传说
8.9,哈尔的移动城堡
8.5,神偷奶爸
9.1,触不可及
9.0,天空之城
7.4,北京遇上西雅图
8.0,老炮儿
8.6,禁闭岛
8.7,疯狂原始人
6.8,美人鱼
8.6,重庆森林
8.7,低俗小说
7.1,后会无期
7.9,穿普拉达的女王
8.9,闻香识女人
8.6,断背山
8.3,国王的演讲
8.8,致命魔术
8.1,两小无猜
8.0,志明与春娇
9.1,天堂电影院
8.8,勇敢的心
8.3,唐伯虎点秋香
7.1,西游降魔篇
7.6,中国合伙人
8.7,告白
8.2,西游记之大圣归来
8.8,入殓师
8.9,美丽心灵
8.9,指环王1：魔戒再现
8.5,你的名字。
8.6,超能陆战队
6.6,致我们终将逝去的青春
8.2,疯狂的石头
9.0,蝙蝠侠：黑暗骑士
8.5,喜剧之王
7.9,功夫熊猫
8.4,傲慢与偏见
8.7,消失的爱人
8.9,狮子王
8.6,致命ID
7.4,夏洛特烦恼
8.5,真爱至上
9.1,指环王3：王者无敌
8.0,和莎莫的500天
8.6,岁月神偷
8.0,复仇者联盟
8.2,釜山行
9.2,乱世佳人
8.0,金陵十三钗
9.1,摔跤吧！爸爸
8.8,黑客帝国
9.0,飞越疯人院
7.4,人在囧途
7.6,寻龙诀
8.3,恐怖游轮
8.7,阳光灿烂的日子
8.7,射雕英雄传之东成西就
8.3,蓝色大门
7.7,2012
8.4,王牌特工：特工学院
8.9,指环王2：双塔奇兵
8.4,冰川时代
8.5,朗读者
8.0,湄公河行动
7.3,暮光之城
8.5,恋恋笔记本
8.1,我的野蛮女友
8.1,听说
7.8,一天
8.3,秒速5厘米
8.9,死亡诗社
8.7,布达佩斯大饭店
9.0,两杆大烟枪
8.4,香水
7.9,功夫
9.1,活着
7.7,他其实没那么喜欢你
8.5,记忆碎片
8.5,蝙蝠侠：黑暗骑士崛起
8.6,东邪西毒
8.7,心灵捕手
8.7,驯龙高手
8.3,冰雪奇缘
7.6,史密斯夫妇
8.6,哈利·波特与死亡圣器(下)
7.1,非诚勿扰
7.3,春娇与志明
8.9,被嫌弃的松子的一生
7.6,不能说的秘密
8.1,社交网络
8.6,倩女幽魂
8.0,功夫熊猫2
7.7,一代宗师
8.4,火星救援
