series_name,brand_name,factory,series_id,brand_id,guide_price,series_url
奥迪A3,奥迪,一汽-大众奥迪,3170,33,18.49-28.10万,http://www.autohome.com.cn/3170/#levelsource=000000000_0&pvareaid=101594
奥迪A4L,奥迪,一汽-大众奥迪,692,33,29.98-43.00万,http://www.autohome.com.cn/692/#levelsource=000000000_0&pvareaid=101594
奥迪A6L,奥迪,一汽-大众奥迪,18,33,41.88-74.60万,http://www.autohome.com.cn/18/#levelsource=000000000_0&pvareaid=101594
奥迪Q3,奥迪,一汽-大众奥迪,2951,33,23.42-34.28万,http://www.autohome.com.cn/2951/#levelsource=000000000_0&pvareaid=101594
奥迪Q5,奥迪,一汽-大众奥迪,812,33,39.96-52.53万,http://www.autohome.com.cn/812/#levelsource=000000000_0&pvareaid=101594
奥迪A4,奥迪,一汽-大众奥迪,19,33,报价,http://www.autohome.com.cn/19/#levelsource=000000000_0&pvareaid=101594
奥迪A6,奥迪,一汽-大众奥迪,509,33,报价,http://www.autohome.com.cn/509/#levelsource=000000000_0&pvareaid=101594
奥迪A1,奥迪,奥迪(进口),650,33,20.48-23.48万,http://www.autohome.com.cn/650/#levelsource=000000000_0&pvareaid=101594
奥迪A3(进口),奥迪,奥迪(进口),370,33,36.98-36.98万,http://www.autohome.com.cn/370/#levelsource=000000000_0&pvareaid=101594
奥迪A3(进口)新能源,奥迪,奥迪(进口),4325,33,39.98-39.98万,http://www.autohome.com.cn/4325/#levelsource=000000000_0&pvareaid=101594
奥迪S3,奥迪,奥迪(进口),2730,33,39.98-39.98万,http://www.autohome.com.cn/2730/#levelsource=000000000_0&pvareaid=101594
奥迪A4(进口),奥迪,奥迪(进口),471,33,42.38-46.88万,http://www.autohome.com.cn/471/#levelsource=000000000_0&pvareaid=101594
奥迪A5,奥迪,奥迪(进口),538,33,39.80-64.28万,http://www.autohome.com.cn/538/#levelsource=000000000_0&pvareaid=101594
奥迪S5,奥迪,奥迪(进口),2734,33,67.88-85.80万,http://www.autohome.com.cn/2734/#levelsource=000000000_0&pvareaid=101594
奥迪A6(进口),奥迪,奥迪(进口),472,33,45.98-59.98万,http://www.autohome.com.cn/472/#levelsource=000000000_0&pvareaid=101594
奥迪S6,奥迪,奥迪(进口),2736,33,99.98-99.98万,http://www.autohome.com.cn/2736/#levelsource=000000000_0&pvareaid=101594
奥迪A7,奥迪,奥迪(进口),740,33,59.80-89.80万,http://www.autohome.com.cn/740/#levelsource=000000000_0&pvareaid=101594
奥迪S7,奥迪,奥迪(进口),2738,33,135.80-135.80万,http://www.autohome.com.cn/2738/#levelsource=000000000_0&pvareaid=101594
奥迪A8,奥迪,奥迪(进口),146,33,87.98-256.80万,http://www.autohome.com.cn/146/#levelsource=000000000_0&pvareaid=101594
